Programa,Tipo de regra,Prescrição da regra,Regra de alerta,codes,Gravidade,Gravidade Code,Origem,Composta,Questionnnaire code
Covid-19,Composta,Parâmetro biométrico & Parâmetro biométrico,"Temperatura corporal >= 38 ºC 
& Temperatura corporal < 39 ºC",,Moderado,,Programa 2022,,
Covid-19,Simples,Parâmetro biométrico,SpO2 <= 92%,,Grave,,Programa 2022,,
Covid-19,Simples,Parâmetro biométrico,Temperatura corporal >= 39 ºC,,Grave,,Programa 2022,,
Covid-19,Simples,Questionário,Tem febre? = Sim,,Grave,,Programa 2022 & PROD,,
Covid-19,Simples,Questionário,Tem tosse? = Sim,,Grave,,Programa 2022 & PROD,,
Covid-19,Composta,Questionário & Questionário,"Cansaço fácil para pequenos esforços? = Sim
&
Dificuldade em respirar normalmente? = Sim",,Grave,,Programa 2022,,
Covid-19,Composta,Questionário & Questionário,"Tem dor de Garganta? = Sim
&
Tem mal-estar geral? = Sim",,Moderado,,Programa 2022,,
Covid-19,Simples,Questionário,Tem dores de cabeça? = Sim,,Moderado,,Programa 2022 & PROD,,
Covid-19,Simples,Questionário,Tem perda ou diminuição do olfato? = Sim,,Moderado,,Programa 2022 & PROD,,
Covid-19,Composta,Questionário & Questionário,"Tem congestão nasal? = Sim
&
Tem corrimento nasal? = Sim",,Moderado,,Programa 2022,,
Covid-19,Composta,Questionário & Questionário,"Dificuldade em respirar normalmente? = Sim
&
Classifique a sua dificuldade em respirar? = Pouca dificuldade",,Leve,,Programa 2022,,
Covid-19,Composta,Questionário & Questionário,"Dificuldade em respirar normalmente? = Sim
&
Classifique a sua dificuldade em respirar? = Dificuldade",,Moderado,,Programa 2022,,
Covid-19,Composta,Questionário & Questionário,"Dificuldade em respirar normalmente? = Sim
&
Classifique a sua dificuldade em respirar? = Muita dificuldade",,Grave,,Programa 2022,,
Covid-19,Simples,Questionário,Cansaço fácil para pequenos esforços? = Sim,,Moderado,,Programa 2022 & PROD (grave),,
Hipertensão arterial,Simples,Parâmetro biométrico,Pressão arterial sistólica < 80 mmHg,,Grave,,Programa 2022,,
Hipertensão arterial,Simples,Parâmetro biométrico,Pressão arterial diastólica < 40 mmHg,,Grave,,Programa 2022,,
Hipertensão arterial,Simples,Parâmetro biométrico,Frequência cardíaca < 40 bpm,,Grave,,Programa 2022,,
Hipertensão arterial,Simples,Parâmetro biométrico,Pressão arterial sistólica > 180 mmHg,,Grave,,Programa 2022 & PROD (grave),,
Hipertensão arterial,Simples,Parâmetro biométrico,Pressão arterial diastólica > 110 mmHg,,Grave,,Programa 2022 & PROD (grave),,
Hipertensão arterial,Simples,Parâmetro biométrico,Frequência cardíaca >= 120 bpm,,Grave,,Programa 2022,,
Hipertensão arterial,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial sistólica >= 81 mmHg 
& Pressão arterial sistólica < 89 mmHg",,Moderado,,Programa 2022,,
Hipertensão arterial,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial diastólica >= 40 mmHg 
& Pressão arterial diastólica < 50 mmHg",,Moderado,,Programa 2022,,
Hipertensão arterial,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca > 110 bpm 
& Frequência cardíaca <= 120 bpm",,Moderado,,Programa 2022,,
Hipertensão arterial,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca >= 40 bpm 
& Frequência cardíaca < 50 bpm",,Moderado,,Programa 2022,,
Reabilitação Vocal,Composta,Parâmetro biométrico,FC > 120bpm,HEARTRATE - BPOC_GREATER - 120,Grave,BPOC_HIGH,Novo,1,
Reabilitação Vocal,Composta,Parâmetro biométrico,SpO2% < 92%,PEROXYSAT - BPOC_LESS - 92,Grave,BPOC_HIGH,Novo,1,
Reabilitação Vocal,Simples,Parâmetro biométrico,SpO2 % < 92%,PEROXYSAT - BPOC_LESS - 92,Grave,BPOC_HIGH,Novo,2,
Reabilitação Vocal,Composta,Questionário,"""Como sente a sua voz hoje"" = 2 + ""Durante o dia a sua voz""=Piora",QUES0139 - BPOC_EQUAL - VAD_MODERATE_CHANGE,Grave,BPOC_HIGH,Novo,3,Vocal_Abuse_Diary
Reabilitação Vocal,Composta,Questionário,"""Como sente a sua voz hoje"" = 2 + ""Durante o dia a sua voz""=Piora",QUES0136 - BPOC_EQUAL - VAD_WORST,Grave,BPOC_HIGH,Novo,3,Vocal_Abuse_Diary
Reabilitação Vocal,Composta,Questionário,"""Como sente a sua voz hoje""=3 + ""Durante o dia a sua voz""=Piora",QUES0139 - BPOC_EQUAL - VAD_SEVERE_CHANGE,Moderado,BPOC_AVERAGE,Novo,4,Vocal_Abuse_Diary
Reabilitação Vocal,Composta,Questionário,"""Como sente a sua voz hoje""=3 + ""Durante o dia a sua voz""=Piora",QUES0136 - BPOC_EQUAL - VAD_WORST,Moderado,BPOC_AVERAGE,Novo,4,Vocal_Abuse_Diary
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pneumologia Oncológica,Simples,Parâmetro biométrico,Frequência cardíaca > 100 bpm ,,Moderado,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Parâmetro biométrico,Frequência cardíaca > 120 bpm ,,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Parâmetro biométrico,SpO2 < 92%,,Moderado,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Parâmetro biométrico,SpO2 < 88%,,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Parâmetro biométrico,Temperatura corporal > 38 ºC,,Moderado,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Comparado com o seu habitual, nos últimos 7 dias, como esteve a sua falta de ar? = Mal",,Moderado,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Comparado com o seu habitual, nos últimos 7 dias, como esteve a sua falta de ar? = Muito mal",,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Nos últimos 7 dias, comparado com o seu habitual, sentiu chiadeira no peito? = Sim",,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Nos últimos 7 dias, comparado com o seu habitual, sentiu dor no peito? = Sim",,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Nos últimos 7 dias, teve perdas de sangue pela boca? = Sim",,Grave,,Novo,PULMONARY-ONCOLOGY,
Pneumologia Oncológica,Simples,Questionário,"Comparado com o seu habitual, nos últimos 7 dias, teve febre? = Sim",,Grave,,Novo,PULMONARY-ONCOLOGY,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
